"","RK","Name","POS","GP","ATT","YDS","AVG","LNG","BIG","TD","YDS/G","FUM","LST","FD","Stat","TeamsLong"
"1",1,"Derrick Henry","RB",16,378,"2,027",5.4,94,16,17,126.7,3,2,98,"Rushing","Tennessee Titans"
"2",2,"Dalvin Cook","RB",14,312,"1,557",5,70,6,16,111.2,4,2,91,"Rushing","Minnesota Vikings"
"3",3,"Jonathan Taylor","RB",15,232,"1,169",5,62,7,11,77.9,1,1,69,"Rushing","Indianapolis Colts"
"4",4,"Aaron Jones","RB",14,201,"1,104",5.5,77,6,9,78.9,1,0,52,"Rushing","Green Bay Packers"
"5",5,"David Montgomery","RB",15,247,"1,070",4.3,80,5,8,71.3,0,0,59,"Rushing","Chicago Bears"
"6",5,"James Robinson","RB",14,240,"1,070",4.5,47,5,7,76.4,1,0,54,"Rushing","Jacksonville Jaguars"
"7",7,"Nick Chubb","RB",12,190,"1,067",5.6,59,12,12,88.9,1,1,55,"Rushing","Cleveland Browns"
"8",8,"Josh Jacobs","RB",15,273,"1,065",3.9,28,3,12,71,2,2,61,"Rushing","Las Vegas Raiders"
"9",9,"Lamar Jackson","QB",15,159,"1,005",6.3,50,10,7,67,5,2,56,"Rushing","Baltimore Ravens"
"10",10,"Melvin Gordon III","RB",15,215,"986",4.6,65,5,9,65.7,2,2,46,"Rushing","Denver Broncos"
"11",11,"Ezekiel Elliott","RB",15,244,"979",4,31,3,6,65.3,5,4,62,"Rushing","Dallas Cowboys"
"12",12,"Ronald Jones I","RB",14,192,"978",5.1,98,6,7,69.9,0,0,48,"Rushing","Tampa Bay Buccaneers"
"14",13,"Kenyan Drake","RB",15,239,"955",4,69,6,10,63.7,3,1,59,"Rushing","Arizona Cardinals"
"15",14,"Alvin Kamara","RB",15,187,"932",5,49,7,16,62.1,1,0,58,"Rushing","New Orleans Saints"
"16",15,"Miles Sanders","RB",12,164,"867",5.3,82,4,6,72.3,4,2,39,"Rushing","Philadelphia Eagles"
"17",16,"Kareem Hunt","RB",16,198,"841",4.2,33,3,6,52.6,1,0,44,"Rushing","Cleveland Browns"
"18",17,"Kyler Murray","QB",16,133,"819",6.2,48,7,11,51.2,5,0,52,"Rushing","Arizona Cardinals"
"19",18,"J.K. Dobbins","RB",15,134,"805",6,72,8,9,53.7,2,0,38,"Rushing","Baltimore Ravens"
"20",19,"Clyde Edwards-Helaire","RB",13,181,"803",4.4,31,3,4,61.8,0,0,39,"Rushing","Kansas City Chiefs"
"21",20,"Antonio Gibson","RB",14,170,"795",4.7,40,5,11,56.8,0,0,40,"Rushing","Washington"
"22",21,"Gus Edwards","RB",16,144,"723",5,36,8,6,45.2,1,1,45,"Rushing","Baltimore Ravens"
"23",22,"James Conner","RB",13,169,"721",4.3,59,5,6,55.5,2,0,42,"Rushing","Pittsburgh Steelers"
"24",23,"David Johnson","RB",12,147,"691",4.7,48,4,6,57.6,0,0,38,"Rushing","Houston Texans"
"25",23,"Damien Harris","RB",10,137,"691",5,41,4,2,69.1,1,0,30,"Rushing","New England Patriots"
"26",25,"Devin Singletary","RB",16,156,"687",4.4,51,3,2,42.9,1,1,40,"Rushing","Buffalo Bills"
"27",26,"Wayne Gallman","RB",15,147,"682",4.6,60,3,6,45.5,1,0,36,"Rushing","New York Giants"
"28",27,"Chris Carson","RB",12,141,"681",4.8,29,3,5,56.8,1,0,43,"Rushing","Seattle Seahawks"
"29",28,"Todd Gurley II","RB",15,195,"678",3.5,35,2,9,45.2,1,0,45,"Rushing","Atlanta Falcons"
"30",29,"Latavius Murray","RB",15,146,"656",4.5,36,3,4,43.7,1,0,36,"Rushing","New Orleans Saints"
"31",30,"Frank Gore","RB",15,187,"653",3.5,17,0,2,43.5,1,1,32,"Rushing","New York Jets"
"32",31,"Mike Davis","RB",15,165,"642",3.9,25,2,6,42.8,1,1,38,"Rushing","Carolina Panthers"
"33",32,"Cam Akers","RB",13,145,"625",4.3,61,4,2,48.1,1,1,26,"Rushing","Los Angeles Rams"
"34",33,"Darrell Henderson Jr.","RB",15,138,"624",4.5,40,3,5,41.6,0,0,40,"Rushing","Los Angeles Rams"
"35",34,"Adrian Peterson","RB",16,156,"604",3.9,38,4,7,37.8,0,0,34,"Rushing","Detroit Lions"
"36",35,"Jeff Wilson Jr.","RB",12,126,"600",4.8,34,3,7,50,2,2,31,"Rushing","San Francisco 49ers"
"37",36,"Cam Newton","QB",15,137,"592",4.3,49,3,12,39.5,5,1,55,"Rushing","New England Patriots"
"38",37,"Myles Gaskin","RB",10,142,"584",4.1,26,3,3,58.4,2,2,27,"Rushing","Miami Dolphins"
"39",38,"Austin Ekeler","RB",10,116,"530",4.6,27,2,1,53,1,0,26,"Rushing","Los Angeles Chargers"
"40",39,"Raheem Mostert","RB",8,104,"521",5,80,2,2,65.1,1,1,22,"Rushing","San Francisco 49ers"
"41",39,"D'Andre Swift","RB",13,114,"521",4.6,54,1,8,40.1,2,2,31,"Rushing","Detroit Lions"
"42",41,"Russell Wilson","QB",16,83,"513",6.2,38,6,2,32.1,4,2,25,"Rushing","Seattle Seahawks"
"43",42,"Jamaal Williams","RB",14,119,"505",4.2,25,1,2,36.1,0,0,29,"Rushing","Green Bay Packers"
"44",43,"Phillip Lindsay","RB",11,118,"502",4.3,55,6,1,45.6,0,0,19,"Rushing","Denver Broncos"
"45",44,"Zack Moss","RB",13,112,"481",4.3,31,4,4,37,0,0,30,"Rushing","Buffalo Bills"
"46",45,"Brian Hill","RB",16,100,"465",4.7,62,3,1,29.1,1,1,18,"Rushing","Atlanta Falcons"
"47",46,"Taysom Hill","QB",16,87,"457",5.3,43,2,8,28.6,7,3,34,"Rushing","New Orleans Saints"
"48",47,"Sony Michel","RB",9,79,"449",5.7,48,4,1,49.9,0,0,19,"Rushing","New England Patriots"
"49",48,"Chase Edmonds","RB",16,97,"448",4.6,32,4,1,28,1,0,22,"Rushing","Arizona Cardinals"
"50",49,"Deshaun Watson","QB",16,90,"444",4.9,16,0,3,27.8,4,1,31,"Rushing","Houston Texans"
"51",50,"Tony Pollard","RB",16,101,"435",4.3,42,4,4,27.2,0,0,23,"Rushing","Dallas Cowboys"
